	10fthf_c	10fthf_m	12ppd-S_c	13dpg_c	1c_c	1pipdn2c_x	1pyr5c_c	1pyr5c_m	23dpg_c	25aics_c	2amac_c	2aobut_m	2dr1p_c	2dr5p_c	2kmb_c	2maacoa_m	2mb2coa_m	2mbcoa_m	2mop_m	2mp2coa_m	2obut_c	2obut_m	2oxoadp_c	2oxoadp_m	2pg_c	34dhphe_c	34hpp_c	3aib-D_c	3aib-D_m	3hanthrn_c	3hbcoa_m	3hibutcoa_m	3hmbcoa_m	3hmp_m	3mb2coa_m	3mgcoa_m	3mob_c	3mob_m	3mop_c	3mop_m	3pg_c	3php_c	3sala_c	3uib_c	44mctr_r	44mzym_r	4abut_c	4abut_m	4abutn_c	4fumacac_c	4izp_c	4mlacac_c	4mop_c	4mop_m	56dthm_c	56dura_c	5aizc_c	5dpmev_x	5forthf_c	5mdr1p_c	5mdru1p_c	5mta_c	5mthf_c	5pmev_x	6a2ohxnt_x	6pgc_c	6pgl_c	7dhchsterol_r	aacoa_c	aacoa_m	aact_c	aact_m	ac_c	ac_m	acac_c	acac_m	acac_x	acACP_c	acald_c	acald_m	accoa_c	accoa_m	accoa_x	acetol_c	acetone_c	acetone_m	acgam_c	acgam1p_c	acgam6p_c	acmana_c	acmanap_c	acnam_c	acnamp_c	acrn_c	acrn_m	acrn_x	ade_c	adn_c	adp_c	adp_m	adp_x	ahcys_c	aicar_c	air_c	akg_c	akg_m	ala-B_c	ala-B_m	ala-D_c	ala-D_x	ala-L_c	ala-L_m	ala-L_x	am6sa_c	amet_c	ametam_c	amp_c	amuco_c	arg-L_c	arg-L_m	argsuc_c	asn-L_c	asn-L_m	asp-L_c	asp-L_m	atp_c	atp_m	atp_x	b2coa_m	betald_m	bhb_c	bhb_m	btACP_c	btcoa_m	cala_c	camp_c	cbasp_c	cbp_c	cbp_m	cdp_c	chlstol_r	chol_c	chol_m	cholp_c	chsterol_c	chsterol_r	chsterol_m	cit_c	cit_m	citr-L_c	citr-L_m	cmp_c	cmusa_c	co2_c	co2_r	co2_m	co2_x	creat_c	creat_m	crtn_c	ctp_c	cys-L_c	cyst-L_c	cytd_c	dad-2_c	dadp_c	damp_c	datp_c	dcaACP_c	dcacoa_m	dcamp_c	dcdp_c	dcmp_c	dctp_c	dcyt_c	ddcaACP_c	ddcacoa_m	ddsmsterol_r	dgdp_c	dgmp_c	dgsn_c	dgtp_c	dhap_c	dhor-S_c	din_c	dkmpp_c	dmgly_c	dmgly_m	dmpp_x	dopa_c	drib_c	dsmsterol_r	dtdp_c	dtmp_c	dttp_c	dump_c	duri_c	e4p_c	f1p_c	f26bp_c	f6p_c	fald_c	fald_m	fdp_c	fgam_c	for_c	for_r	for_m	forglu_c	fpram_c	fprica_c	frdp_r	frdp_x	fru_c	fum_c	fum_m	g1p_c	g3p_c	g6p_c	g6p_r	gam6p_c	gar_c	gcald_c	gdp_c	glc-D_c	glc-D_r	gln-L_c	gln-L_m	glu5p_c	glu5p_m	glu5sa_c	glu5sa_m	glucys_c	glu-L_c	glu-L_m	glutcoa_m	glx_c	glx_x	gly_c	gly_m	gly_x	glyald_c	glyb_c	glyb_m	glyc3p_c	glyclt_c	glyclt_x	glycogen_c	glyc-R_c	gmp_c	grdp_x	gsn_c	gthox_c	gthrd_c	gtp_c	gua_c	gudac_c	h2co3_c	h2co3_m	hco3_c	hco3_m	hcys-L_c	hdca_c	hexACP_c	hexcoa_m	hgentis_c	his-L_c	hLkynr_c	hmgcoa_c	hmgcoa_m	hmgcoa_x	hpyr_c	hpyr_x	hxan_c	hxan_x	hyptaur_c	ibcoa_m	icit_c	icit_m	ile-L_c	ile-L_m	imp_c	inost_c	ins_c	ipdp_x	ivcoa_m	L2aadp_c	L2aadp_m	L2aadp6sa_c	L2aadp6sa_m	lac-D_c	lac-L_c	lald-D_c	lald-L_c	lanost_r	Lcyst_c	leu-L_c	leu-L_m	Lfmkynr_c	lgt-S_c	Lkynr_c	Lpipecol_x	lthstrl_r	lys-L_c	lys-L_m	lys-L_x	malcoa_c	mal-L_c	mal-L_m	meoh_c	methf_c	methf_m	met-L_c	mev-R_x	mi1p-D_c	mlthf_c	mlthf_m	mmcoa-R_m	mmcoa-S_m	msa_m	mthgxl_c	myrsACP_c	Nacasp_c	Nacasp_m	oaa_c	oaa_m	ocACP_c	occoa_m	orn_c	orn_m	orot_c	orot5p_c	oxa_c	oxa_x	palmACP_c	pcreat_c	pcreat_m	pep_c	pep_m	phe-L_c	pmtcoa_c	pmtcoa_m	pmtcrn_c	pmtcrn_m	ppcoa_m	pram_c	pro-L_c	pro-L_m	prpp_c	pser-L_c	ptrc_c	pyr_c	pyr_m	pyr_x	r1p_c	r5p_c	ru5p-D_c	s7p_c	saccrp-L_m	sarcs_c	sarcs_m	sbt-D_c	ser-L_c	ser-L_m	ser-L_x	Sfglutth_c	spmd_c	sprm_c	sql_r	Ssq23epx_r	succ_m	succoa_m	sucsal_m	taur_c	tdcoa_m	thp2c_c	thp2c_x	thr-L_c	thym_c	thymd_c	trp-L_c	tyr-L_c	uacgam_c	udp_c	udpg_c	udpgal_c	ump_c	ura_c	urate_c	urate_x	urcan_c	urea_c	urea_m	uri_c	utp_c	val-L_c	val-L_m	xan_c	xan_x	xmp_c	xtsn_c	xu5p-D_c	zymst_r	zymstnl_r
10fthf_c	0	1	1	1	1	1	3	2	4	7	6	6	6	6	5	6		2	10	11	9	4	3	5	4	4	3	5	4	4	3	9	10	7	10	8	5	4	7	5	2	4	6	7	8	9	3	3	4	4	4	6	5	7	4	3	4	5	4	3	5	5	4	3	5	2	3	2	5	2	3	2	4	5	4	6		4		4	4	3	5	4	4	5	4	5	4	2	3	2	3	4	3	3	8	7	9	2	6	10	4	5	4	3	5	6	4	3	5	4	4	3	2	4	2	3	3	4	2	4	3	5	6	3	2	5	12	2	3	4				5	4	6	6	3	5	6	7	5	3	7	8	8	7	3	9	5	4	6	7	8	7	3	2	6	6	4	6	6	6	3	4	6	6	3	6	9	8	7	8	8	9	8	7	10	5	6		4	3	5	3	4	5	5	4	5	5	5		3	2	3	3	2	3	4	5	4	2	6	6	5	5	4	6	6	4	3	2	3	4	3	3	4	3	3	2	3	3	9	10	8	5	9	4	4	3	4	4	3	8	7	8	8				11	12				5	6	2	2	2	2	2	2	2	2	3	3	3	3	6	7	7	8	8	7	3	5	11	6	11	12	7	9	6	6	13	5	6	6	4	6	7	6	7	5	6	5	7					4	3	5		5	10	6	6	6				2	2	2	6	7	5	6	3	4	5	5	6	7	7	5	5	5	6	5	9	8	3	5	3	4	3	4	3	4	7	6	8	5	7	7	4	5	5	4	4		4	3	5	5				10	11	9	10	6	5	3	4						6	6	6	7	7	5	6	5	4	3	8		13	14	5	5	6	4	8	7		11	10	9	5	11	10	4	8	12	6	8				
10fthf_m	1	0	2	1	2	2	3	2	4	6	5	5	5	5	4	5		1	9	10	8	3	2	4	3	3	2	4	4	3	4	8	9	8	9	7	4	4	6	6	2	5	5	6	7	8	2	2	3	3	3	5	4	6	3	2	3	4	3	2	4	4	3	2	4	1	2	1	4	1	2	1	3	4	3	5		3		3	3	2	4	3	3	4	3	5	5	1	2	1	2	3	2	3	7	6	8	1	5	9	3	4	3	2	4	5	3	2	4	3	3	2	1	3	1	2	2	3	3	4	3	5	6	4	3	4	11	1	2	3				4	3	5	5	2	4	5	6	4	2	6	7	7	6	2	8	4	3	5	6	7	6	2	1	5	5	3	5	5	5	2	3	5	5	2	5	8	7	6	7	7	8	7	6	9	4	5		5	4	6	4	5	6	6	5	6	6	6		4	3	2	2	1	2	3	4	3	1	5	5	4	4	3	5	5	5	2	3	2	3	2	2	3	2	2	1	2	2	8	9	7	4	8	3	3	2	3	3	2	7	6	7	7				10	11				4	5	1	1	1	1	1	1	1	1	2	2	2	2	5	6	6	7	7	6	2	4	10	7	10	11	6	8	5	5	12	6	7	7	5	5	6	5	6	4	5	4	6					5	4	6		4	9	5	5	5				2	2	2	6	7	5	5	2	3	4	4	5	6	6	4	4	4	5	4	8	7	4	6	2	3	2	3	2	3	6	5	7	4	6	6	3	4	4	3	3		5	4	4	4				9	10	8	9	5	4	2	3						5	5	5	6	6	4	5	4	4	3	7		12	13	5	4	5	3	7	6		10	9	8	4	10	9	5	7	11	5	7				
12ppd-S_c	1	2	0	2		2	4	3	5	10	9	9	8	9	9	7													10	9	11																																10	11	10									13	12	14												10	11																												3	4			3					4	3									15	14	14		13	11	9	10	8		15	16	16			17	15	14		15		13			12	12									10		15	14	10	11																					2	1									11	11	10	10	11	11																		15			5	4	5		4															3	3	3	3	12				3	4																								8			9																						3											8	6					1	7	6									5	4	6	3	5	5	2				12															13	12											10	9	10							4		11					2	3	4			5		5							
13dpg_c	1	1	2	0	2	2	2	1	3	7	6	6	6	6	5	6		2	10	11	9	4	3	5	4	4	3	5	5	4	4	9	10	8	10	8	5	5	7	6	1	5	6	7	8	9	3	3	4	4	4	6	5	7	4	3	4	5	4	3	5	5	4	3	5	2	3	2	5	2	3	2	4	5	4	6		4		4	4	3	5	4	4	5	4	6	5	2	3	2	3	4	3	2	8	7	9	2	6	10	4	5	4	3	5	6	4	3	5	4	4	3	2	4	2	3	3	4	3	3	2	4	5	4	3	5	12	2	3	4				5	4	6	6	3	5	6	7	5	3	7	8	8	7	3	9	5	4	6	7	8	7	3	2	6	6	4	6	6	6	3	4	6	6	3	6	9	8	7	8	8	9	8	7	10	5	6		5	4	6	4	5	6	6	5	6	6	6		4	3	3	3	2	3	4	5	4	2	6	6	5	5	4	6	6	5	3	3	3	4	3	3	4	3	3	2	3	3	9	10	8	5	9	4	4	3	4	4	3	8	7	8	8				11	12				5	6	2	2	2	2	2	2	2	2	3	3	3	3	6	7	7	8	8	7	3	5	11	7	11	12	7	9	6	6	13	6	7	7	5	6	7	6	7	5	6	5	7					5	4	6		5	10	6	6	6				1	1	1	5	6	4	6	3	4	5	5	6	7	7	5	5	5	6	5	9	8	4	6	3	4	3	4	3	4	7	6	8	5	7	7	4	5	5	4	4		5	4	5	5				10	11	9	10	6	5	3	4						6	6	6	7	7	5	6	5	3	2	8		13	14	4	5	6	4	8	7		11	10	9	5	11	10	5	8	12	6	8				
1c_c	1	2		2	0	2	4	3	5	9	8	8	7	8	8	6		4											9	8	10	7	7	6	8	8			9																								9	10	9									12	11	13												9	10																																3					4	3									13	13	12		12	10	8	9	7		11	12	10			11	14	13		13		12			11	11									9		14	13	9	10								3	3	2	4	2	3	4	4	3	4	4	4	1											10	10	9	9	10	10		3	2	1														14			5	4	5		4															3	3	3	3	11				12	4											6	5								4	5	5	3	7			8																						3											7	5						12	13	2	4							14	13	15	12	14	14	11				11		3	2			3	4								12	11	2	3	4								9	8	9							6		10					3	2	3			3	3	4				6	5		
1pipdn2c_x	1	2	2	2	2	0	4	3	5	7	6	6	6	6	5	6		3	11	12	10	5	4	6	5	5	4	6	3	4	2	9	10	8	10	8	6	3	7	4	3	3	7	8	9	10	4	4	5	5	5	7	6	8	5	4	3	6	5	4	6	6	5	4	5	3	4	3	6	3	4	3	5	6	5	7		5		5	5	4	6	5	5	6	5	4	3	3	4	3	4	5	4	4	9	8	10	3	7	11	5	6	3	2	4	7	5	4	6	5	5	4	3	5	3	4	4	5	1	5	4	6	7	2	1	6	13	3	4	5				6	5	7	7	4	6	6	7	5	4	8	9	9	8	4	10	6	5	7	8	9	8	4	3	7	7	5	7	7	7	4	5	7	7	4	7	10	9	7	8	9	10	9	8	11	5	6		5	4	6	4	5	6	6	5	6	6	6		4	3	4	4	3	4	5	6	5	3	6	6	5	5	5	6	7	5	4	3	4	5	4	4	5	4	4	3	4	4	10	11	9	6	10	5	5	4	5	5	4	9	8	9	9				12	13				6	7	3	3	3	3	3	3	3	3	4	4	4	4	7	8	8	9	9	8	4	6	11	7	12	13	8	10	7	7	14	6	7	7	5	6	7	7	7	6	7	6	8					3	2	4		6	10	7	7	7				3	3	3	7	8	6	7	4	5	6	6	7	7	7	6	6	6	7	6	10	9	4	6	4	5	4	5	4	5	8	7	9	6	8	8	5	6	6	5	3		5	4	6	6				11	12	10	11	5	6	4	3						7	7	7	8	8	5	6	5	5	4	9		14	15	6	6	6	5	9	8		11	10	9	6	12	10	5	8	13	7	9				
1pyr5c_c	3	3	4	2	4	4	0	1	1	9	8	8	8	8	7	8		4	12	13	11	6	5	7	6	6	5	7	5	6	4	11	12	10	12	10	7	7	9	8	3	7	8	9	10	11	5	5	6	6	6	8	7	9	6	5	5	7	6	5	7	7	6	5	7	4	5	4	7	4	5	4	6	7	6	8		6		6	6	5	7	6	6	7	6	6	5	4	5	4	5	6	5	4	10	9	11	4	8	12	6	7	6	5	7	8	6	5	7	6	6	5	4	6	4	5	5	6	5	5	4	6	7	6	5	7	14	4	5	6				7	6	8	8	5	7	8	9	7	4	9	10	10	9	5	11	7	6	8	9	10	9	5	4	8	8	6	8	8	8	5	6	8	8	5	8	11	10	9	10	10	11	10	9	12	7	8		7	6	8	6	7	8	8	7	8	8	8		6	5	5	5	4	5	6	7	6	4	8	8	7	7	6	8	8	7	5	5	5	6	5	5	6	5	5	4	5	5	8	9	7	7	11	6	6	5	6	6	5	10	9	10	10				10	11				7	8	4	4	4	4	4	4	4	4	3	5	5	5	6	7	7	8	8	9	5	7	13	9	13	14	9	11	8	8	15	8	9	9	7	8	9	8	9	7	5	4	6					7	6	8		7	12	8	8	8				3	3	3	7	8	6	8	5	6	7	7	8	9	9	7	7	7	8	5	9	8	6	8	5	6	5	6	5	5	7	6	8	5	7	7	4	5	4	3	3		7	6	6	6				12	13	11	12	8	7	5	5						8	8	8	9	9	7	8	7	5	4	10		15	16	2	7	8	6	10	9		13	12	11	7	13	12	7	10	14	8	10				
1pyr5c_m	2	2	3	1	3	3	1	0	2	8	7	7	7	7	6	7		3	11	12	10	5	4	6	5	5	4	6	6	5	5	10	11	9	11	9	6	6	8	7	2	6	7	8	9	10	4	4	5	5	5	7	6	8	5	4	5	6	5	4	6	6	5	4	6	3	4	3	6	3	4	3	5	6	5	7		5		5	5	4	6	5	5	6	5	7	6	3	4	3	4	5	4	3	9	8	10	3	7	11	5	6	5	4	6	7	5	4	6	5	5	4	3	5	3	4	4	5	4	4	3	5	6	5	4	6	13	3	4	5				6	5	7	7	4	6	7	8	6	4	8	9	9	8	4	10	6	5	7	8	9	8	4	3	7	7	5	7	7	7	4	5	7	7	4	7	10	9	8	9	9	10	9	8	11	6	7		6	5	7	5	6	7	7	6	7	7	7		5	4	4	4	3	4	5	6	5	3	7	7	6	6	5	7	7	6	4	4	4	5	4	4	5	4	4	3	4	4	9	10	8	6	10	5	5	4	5	5	4	9	8	9	9				11	12				6	7	3	3	3	3	3	3	3	3	4	4	4	4	7	8	8	9	9	8	4	6	12	8	12	13	8	10	7	7	14	7	8	8	6	7	8	7	8	6	6	5	7					6	5	7		6	11	7	7	7				2	2	2	6	7	5	7	4	5	6	6	7	8	8	6	6	6	7	6	10	9	5	7	4	5	4	5	4	5	8	7	9	6	8	8	5	6	5	4	4		6	5	6	6				11	12	10	11	7	6	4	5						7	7	7	8	8	6	7	6	4	3	9		14	15	3	6	7	5	9	8		12	11	10	6	12	11	6	9	13	7	9				
23dpg_c	4	4	5	3	5	5	1	2	0	8	7	7	7	7	6	7		5	13	14	12	7	6	8	7	7	6	8	4	5	3	10	11	11	11	9	8	8	8	9	4	8	9	10	11	12	6	6	7	7	7	9	8	10	7	6	4	8	7	6	8	8	7	6	6	5	6	5	8	5	6	5	7	8	7	9		7		7	7	6	8	7	7	8	7	5	4	5	6	5	6	7	6	5	11	10	12	5	9	13	7	8	7	6	8	9	7	6	8	7	7	6	5	7	5	6	6	7	6	6	5	7	8	7	6	8	15	5	6	7				8	7	9	9	6	8	7	8	6	3	10	11	11	10	6	12	8	7	9	10	11	10	6	5	9	9	7	9	9	9	6	7	9	9	6	9	12	11	8	9	11	12	11	10	13	6	7		8	7	9	7	8	9	9	8	9	9	9		7	6	6	6	5	6	7	8	7	5	7	7	6	6	7	7	9	8	6	6	6	7	6	6	7	6	6	5	6	6	7	8	6	8	12	7	7	6	7	7	6	11	10	11	11				9	10				8	9	5	5	5	5	5	5	5	5	2	6	6	6	5	6	6	7	7	10	6	8	12	10	14	15	10	12	9	9	16	9	10	10	8	7	8	8	8	8	4	3	5					8	7	9		8	11	9	9	9				4	4	4	8	9	7	9	6	7	8	8	9	8	8	8	8	8	9	4	8	7	7	9	6	7	6	7	6	4	6	5	7	4	6	6	3	4	3	2	2		8	7	5	5				13	14	12	13	9	8	5	4						9	9	9	10	10	6	7	6	6	5	11		16	17	1	8	7	7	11	10		12	11	10	8	14	11	8	9	15	9	11				
25aics_c	7	6	10	7	9	7	9	8	8	0	1	1	4	5	5	3		10	16	17	15	14	13	13	11	12	10	12	4	3	5	6	7	7	7	5	7	7	4				7	8	9	10	11	10	11	11	9	13	12	14			6		10	9	11	11	5	6	4	11	10	9	12	13	14	13	5	6	5	7		6		5	16	15	17	16	12	13	12	6	6				14				10	9	11	11	8	12	6	7	13	12	14	8					15	11	10	12	13	6	10	9	8					7	6	8	18	6	6	5				6	5	7	7	4	5	3	4	2	5	8	9	9	6	7	10	6	5	7	8	9	7	6	8	6	6	6	7	7	7	7	7	7	7	4	7	9	8	2	3	7	8	7	8	9	4	5		8	8	9	8	9	10	10	9	9	10	10		12	11	10	9	7	7	10	9	8	6	5	5	4	4	5	5	12	9	6	8	14	14	6	7	7	6	7	5	5	8				6	10	8	9	8	7	14	6	11	10	11	10									15	9	7	5	7	7	7	4	13	8	7	6	5	10						10	12	8	8	10	12	13	9	11	8	8	14	9	8	10	9	3	4	4	4	9								9	8	10		4	7	5	5	5				14	8	7				6	5	6	7	6	7	4	4	6	6	6	7	9	8	9	8	10	12	11	12	11	13	13	9	8	10	7	9	9	6				6		8	9	14	3				11	12	10	11	15	6	7	6						7	12	12	13	13	4	3	2		8	14		19	20	7	8	5	11	9	8		8	7	6	8	13	7	8	5	14	9	11				
