peak_id	ion_mode	mz	hmdb_accession	name	inchi_key	skeleton	neutral_mass	mod_id	mod_mass
9	-1	959.522103833379	HMDB0030535	Notoginsenoside E	QIJZJJDYRMOHTP-UKTHLTGXSA-N	QIJZJJDYRMOHTP	978.539945024	-H-H2O	-19.017841149621
9	-1	959.522103833379	HMDB0030902	Notoginsenoside G	BJTRHGSEMPBIPZ-UHFFFAOYSA-N	BJTRHGSEMPBIPZ	960.52938034	-H	-1.007276466621
9	-1	959.522103833379	HMDB0034351	Ginsenoside III	UWGVFBVJCVDUPT-UHFFFAOYSA-N	UWGVFBVJCVDUPT	960.52938034	-H	-1.007276466621
9	-1	959.522103833379	HMDB0035285	Ginsenoside I	QCCQLRNQOAQMKU-UHFFFAOYSA-N	QCCQLRNQOAQMKU	978.539945024	-H-H2O	-19.017841149621
9	-1	959.522103833379	HMDB0116800	CL(8:0/8:0/8:0/12:0)	YRFPATIDUJPRKD-NJZAESGASA-N	YRFPATIDUJPRKD	960.534025292	-H	-1.007276466621
9	-1	959.522103833379	HMDB0116801	CL(8:0/8:0/8:0/i-12:0)	OMFBXDBPUSEZAT-NJZAESGASA-N	OMFBXDBPUSEZAT	960.534025292	-H	-1.007276466621
9	-1	959.522103833379	HMDB0116832	CL(8:0/8:0/10:0/10:0)	YAEVFMUDQXMEBM-NJZAESGASA-N	YAEVFMUDQXMEBM	960.534025292	-H	-1.007276466621
33	-1	903.464147533379	HMDB0033500	Lyciumoside VI	VWZHZYXUGKPPIX-PRMGPUFCSA-N	VWZHZYXUGKPPIX	922.477344768	-H-H2O	-19.017841149621
33	-1	903.464147533379	HMDB0039165	Capsianoside VI	WZQKUYVRQLGXCB-PRMGPUFCSA-N	WZQKUYVRQLGXCB	922.477344768	-H-H2O	-19.017841149621
33	-1	903.464147533379	HMDB0116479	PGP(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(8Z,11Z,14Z,17Z))	VPSVZPCVXWJWSR-WWRHEWMHSA-N	VPSVZPCVXWJWSR	922.476116492	-H-H2O	-19.017841149621
33	-1	903.464147533379	HMDB0116488	PGP(20:4(5Z,8Z,11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	APASMVBAJHKVGY-DTAASTIRSA-N	APASMVBAJHKVGY	922.476116492	-H-H2O	-19.017841149621
33	-1	903.464147533379	HMDB0116746	PGP(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(5Z,8Z,11Z,14Z))	MWJPWYLOWRFABD-BNCNEJQVSA-N	MWJPWYLOWRFABD	922.476116492	-H-H2O	-19.017841149621
33	-1	903.464147533379	HMDB0116797	CL(8:0/8:0/8:0/8:0)	PVSPUBLWCTXHDH-FZNHDDJXSA-N	PVSPUBLWCTXHDH	904.471425036	-H	-1.007276466621
41	-1	887.565502833379	HMDB0009792	PI(16:0/22:3(10Z,13Z,16Z))	BJRKLYRUFGEVOD-NYRYSPHWSA-N	BJRKLYRUFGEVOD	888.57277978	-H	-1.007276466621
41	-1	887.565502833379	HMDB0009813	PI(18:0/20:3(5Z,8Z,11Z))	BSTMJEKBGMABBW-SVOBYVNYSA-N	BSTMJEKBGMABBW	888.57277978	-H	-1.007276466621
41	-1	887.565502833379	HMDB0009814	PI(18:0/20:3(8Z,11Z,14Z))	ZUGLBBVIAIBIKG-JOXDCNDISA-N	ZUGLBBVIAIBIKG	888.57277978	-H	-1.007276466621
41	-1	887.565502833379	HMDB0009852	PI(18:2(9Z,12Z)/20:1(11Z))	VVADTISLHXZLIB-WNWAWKNRSA-N	VVADTISLHXZLIB	888.57277978	-H	-1.007276466621
41	-1	887.565502833379	HMDB0009872	PI(20:1(11Z)/18:2(9Z,12Z))	SRBHCRWAHUOXQL-WNWAWKNRSA-N	SRBHCRWAHUOXQL	888.57277978	-H	-1.007276466621
41	-1	887.565502833379	HMDB0009880	PI(20:3(5Z,8Z,11Z)/18:0)	UOOAASZFDKTPTR-DWBYJZPYSA-N	UOOAASZFDKTPTR	888.57277978	-H	-1.007276466621
41	-1	887.565502833379	HMDB0009887	PI(20:3(8Z,11Z,14Z)/18:0)	CTHODJWPFIBECC-FRWZOJKRSA-N	CTHODJWPFIBECC	888.57277978	-H	-1.007276466621
41	-1	887.565502833379	HMDB0009907	PI(22:3(10Z,13Z,16Z)/16:0)	MHKWHDPIKFAACP-NYRYSPHWSA-N	MHKWHDPIKFAACP	888.57277978	-H	-1.007276466621
42	-1	887.565502833379	HMDB0009792	PI(16:0/22:3(10Z,13Z,16Z))	BJRKLYRUFGEVOD-NYRYSPHWSA-N	BJRKLYRUFGEVOD	888.57277978	-H	-1.007276466621
42	-1	887.565502833379	HMDB0009813	PI(18:0/20:3(5Z,8Z,11Z))	BSTMJEKBGMABBW-SVOBYVNYSA-N	BSTMJEKBGMABBW	888.57277978	-H	-1.007276466621
42	-1	887.565502833379	HMDB0009814	PI(18:0/20:3(8Z,11Z,14Z))	ZUGLBBVIAIBIKG-JOXDCNDISA-N	ZUGLBBVIAIBIKG	888.57277978	-H	-1.007276466621
42	-1	887.565502833379	HMDB0009852	PI(18:2(9Z,12Z)/20:1(11Z))	VVADTISLHXZLIB-WNWAWKNRSA-N	VVADTISLHXZLIB	888.57277978	-H	-1.007276466621
42	-1	887.565502833379	HMDB0009872	PI(20:1(11Z)/18:2(9Z,12Z))	SRBHCRWAHUOXQL-WNWAWKNRSA-N	SRBHCRWAHUOXQL	888.57277978	-H	-1.007276466621
42	-1	887.565502833379	HMDB0009880	PI(20:3(5Z,8Z,11Z)/18:0)	UOOAASZFDKTPTR-DWBYJZPYSA-N	UOOAASZFDKTPTR	888.57277978	-H	-1.007276466621
42	-1	887.565502833379	HMDB0009887	PI(20:3(8Z,11Z,14Z)/18:0)	CTHODJWPFIBECC-FRWZOJKRSA-N	CTHODJWPFIBECC	888.57277978	-H	-1.007276466621
42	-1	887.565502833379	HMDB0009907	PI(22:3(10Z,13Z,16Z)/16:0)	MHKWHDPIKFAACP-NYRYSPHWSA-N	MHKWHDPIKFAACP	888.57277978	-H	-1.007276466621
45	-1	885.549852733379	HMDB0009793	PI(16:0/22:4(10Z,13Z,16Z,19Z))	PSFLOZGKTVHJEH-HACPKTPBSA-N	PSFLOZGKTVHJEH	886.557129716	-H	-1.007276466621
45	-1	885.549852733379	HMDB0009794	PI(16:0/22:4(7Z,10Z,13Z,16Z))	QMHVKCZBZGFKNG-YXXNRDSMSA-N	QMHVKCZBZGFKNG	886.557129716	-H	-1.007276466621
45	-1	885.549852733379	HMDB0009815	PI(18:0/20:4(5Z,8Z,11Z,14Z))	KRTOMQDUKGRFDJ-ZAHDIIMDSA-N	KRTOMQDUKGRFDJ	886.557129716	-H	-1.007276466621
45	-1	885.549852733379	HMDB0009816	PI(18:0/20:4(8Z,11Z,14Z,17Z))	OJESNYFIPWSOPO-MTPIFTEDSA-N	OJESNYFIPWSOPO	886.557129716	-H	-1.007276466621
45	-1	885.549852733379	HMDB0009830	PI(18:1(11Z)/20:3(5Z,8Z,11Z))	LQOUCIOTQDTGNO-FBILJRGDSA-N	LQOUCIOTQDTGNO	886.557129716	-H	-1.007276466621
45	-1	885.549852733379	HMDB0009831	PI(18:1(11Z)/20:3(8Z,11Z,14Z))	HRIGUEOTNBMWNX-FEWKZSOUSA-N	HRIGUEOTNBMWNX	886.557129716	-H	-1.007276466621
45	-1	885.549852733379	HMDB0009842	PI(18:1(9Z)/20:3(5Z,8Z,11Z))	UAMKTZVXBAQZPT-UUMWKJOESA-N	UAMKTZVXBAQZPT	886.557129716	-H	-1.007276466621
45	-1	885.549852733379	HMDB0009843	PI(18:1(9Z)/20:3(8Z,11Z,14Z))	WTRAJKINRRDLTR-YRUQOAMLSA-N	WTRAJKINRRDLTR	886.557129716	-H	-1.007276466621
45	-1	885.549852733379	HMDB0009853	PI(18:2(9Z,12Z)/20:2(11Z,14Z))	KWLSOMXGJQDEIE-BCJFPNFZSA-N	KWLSOMXGJQDEIE	886.557129716	-H	-1.007276466621
45	-1	885.549852733379	HMDB0009877	PI(20:2(11Z,14Z)/18:2(9Z,12Z))	DSTZBWQTOOOXEM-BCJFPNFZSA-N	DSTZBWQTOOOXEM	886.557129716	-H	-1.007276466621
45	-1	885.549852733379	HMDB0009881	PI(20:3(5Z,8Z,11Z)/18:1(11Z))	SZENBGMCILNJHW-VLFWAYHFSA-N	SZENBGMCILNJHW	886.557129716	-H	-1.007276466621
45	-1	885.549852733379	HMDB0009882	PI(20:3(5Z,8Z,11Z)/18:1(9Z))	UOVCVWSVYQEFSC-UZMCJGOOSA-N	UOVCVWSVYQEFSC	886.557129716	-H	-1.007276466621
45	-1	885.549852733379	HMDB0009888	PI(20:3(8Z,11Z,14Z)/18:1(11Z))	LSIQZINRDDJUGH-CTFKWLJYSA-N	LSIQZINRDDJUGH	886.557129716	-H	-1.007276466621
45	-1	885.549852733379	HMDB0009889	PI(20:3(8Z,11Z,14Z)/18:1(9Z))	QBLBBWQEGJSIHQ-UADNNDMLSA-N	QBLBBWQEGJSIHQ	886.557129716	-H	-1.007276466621
