Metabolite	MI	ala	arg	asn	asp	chol	citr	creat	glc	gln	gly	hdca	his	ile	inost	leu	lys	met	phe	pro	ser	thr	trp	tyr	val
10fthf_c	0	0.990649693	0.99039672	0.99017232	0.987880797	0.91252254	0.990687633	0.990842484	0.82269145	0.990145822	0.979516083	0.990653462	0.735134356	0.990824876	0.990842484	0.990664722	0.990822715	0.985220754	0.990043331	0.990742987	0.924213086	0.990785489	0.754729123	0.990123715	0.9903449
10fthf_c	1	0.009350307	0.00960328	0.00982768	0.012119203	0.08747746	0.009312367	0.009157516	0.17730855	0.009854178	0.020483917	0.009346538	0.264865644	0.009175124	0.009157516	0.009335278	0.009177285	0.014779246	0.009956669	0.009257013	0.075786914	0.009214511	0.245270877	0.009876285	0.0096551
10fthf_m	0	0.991142072	0.990781425	0.990460273	0.98720745	0.802547715	0.991196195	0.991416642	0.835333918	0.990427553	0.919486898	0.991190949	0.973165119	0.99139823	0.991416642	0.991216174	0.991395012	0.954855599	0.990317815	0.991275421	0.893723781	0.99133702	0.794011689	0.990428723	0.99071081
10fthf_m	1	0.008857928	0.009218575	0.009539727	0.01279255	0.197452285	0.008803805	0.008583358	0.164666082	0.009572447	0.080513102	0.008809051	0.026834881	0.00860177	0.008583358	0.008783826	0.008604988	0.045144401	0.009682185	0.008724579	0.106276219	0.00866298	0.205988311	0.009571277	0.00928919
12ppd-S_c	0	0.967742023	0.96609098	0.964100419	0.922242083	0.969089678	0.971786353	0.974755976	0.716698229	0.954433904	0.94116803	0.87781245	0.967844658	0.973957126	0.974755975	0.761390159	0.948826001	0.974364993	0.865619975	0.971982898	0.951567253	0.973804509	0.945530417	0.876481497	0.96559575
12ppd-S_c	1	0.028457911	0.029445048	0.030461649	0.049129537	0.030480029	0.026525814	0.024986146	0.044803665	0.035066782	0.056912815	0.060094926	0.029319834	0.025350938	0.024986147	0.058496148	0.028870561	0.02525786	0.039793666	0.026395674	0.044295823	0.025509948	0.029821425	0.038455651	0.029968484
12ppd-S_c	2	0.003675863	0.004217035	0.005059928	0.025506493	0.000417562	0.001611304	0.000256979	0.03153104	0.009919651	0.001862478	0.053324701	0.002738377	0.000684401	0.000256979	0.051953322	0.006397485	0.000371613	0.022710321	0.001574699	0.002217827	0.00066962	0.00730166	0.020528467	0.004181138
12ppd-S_c	3	0.000124203	0.000246938	0.000378004	0.003121887	1.27308E-05	7.65288E-05	8.99E-07	0.206967067	0.000579662	5.66766E-05	0.008767923	9.71312E-05	7.53E-06	8.99E-07	0.128160371	0.015905952	5.53E-06	0.071876037	4.67298E-05	0.001919097	1.59235E-05	0.017346498	0.064534385	0.000254627
13dpg_c	0	0.968599714	0.965891895	0.963687095	0.940693131	0.964639562	0.969007368	0.970689771	0.193464346	0.963360115	0.951318539	0.967430995	0.960880059	0.970421501	0.970689771	0.967090708	0.969762601	0.969393441	0.962488704	0.969610236	0.925240954	0.97002102	0.968257167	0.963309477	0.964802636
13dpg_c	1	0.029476221	0.029927747	0.030177475	0.032811475	0.032844925	0.02933373	0.02899716	0.013936676	0.03038604	0.031210729	0.031329788	0.037025951	0.029088013	0.028997159	0.031812707	0.029811767	0.030067662	0.030721978	0.029224431	0.035759032	0.029164243	0.031189265	0.030565372	0.030502658
13dpg_c	2	0.00078499	0.001210603	0.001442933	0.005196911	0.001955462	0.00062634	0.000311949	0.054049731	0.002702177	0.016551727	0.001214376	0.001187487	0.000419218	0.000311949	0.001061578	0.000421621	0.000452787	0.001688739	0.000652883	0.008013372	0.000605948	0.000480637	0.001549027	0.001504421
13dpg_c	3	0.001139076	0.002969755	0.004692497	0.021298483	0.000560051	0.001032561	1.12E-06	0.738549246	0.003551667	0.000919006	2.48408E-05	0.000906503	7.12682E-05	1.12E-06	3.50062E-05	4.01E-06	8.61101E-05	0.005100579	0.00051245	0.030986642	0.000208789	7.29314E-05	0.004576123	0.003190285
1c_c	0	0.990401519	0.990126778	0.98987648	0.987356936	0.768389827	0.990444769	0.990612986	0.941408322	0.989850589	0.986400905	0.990422088	0.907172179	0.990599854	0.990612986	0.990452863	0.990595379	0.601204906	0.989781465	0.990504703	0.911522494	0.990553135	0.976119447	0.989865463	0.990077481
1c_c	1	0.009598481	0.009873222	0.01012352	0.012643064	0.231610173	0.009555231	0.009387014	0.058591678	0.010149411	0.013599095	0.009577912	0.092827821	0.009400146	0.009387014	0.009547137	0.009404621	0.398795094	0.010218535	0.009495297	0.088477506	0.009446865	0.023880553	0.010134537	0.009922519
1pipdn2c_x	0	0.937493045	0.937493046	0.937493046	0.937493045	0.937493046	0.937493045	0.937493046	0.937493045	0.937493046	0.937493046	0.937493046	0.937493046	0.937493046	0.937493046	0.937493046	9.52E-09	0.937493046	0.937493046	0.937493045	0.937493046	0.937493047	0.937493046	0.937493045	0.937493046
1pipdn2c_x	1	0.06083802	0.06083802	0.06083802	0.06083802	0.06083802	0.06083802	0.060838019	0.06083802	0.06083802	0.06083802	0.06083802	0.06083802	0.06083802	0.060838019	0.06083802	1.88E-08	0.06083802	0.06083802	0.06083802	0.060838019	0.060838018	0.06083802	0.06083802	0.06083802
1pipdn2c_x	2	0.001645019	0.001645019	0.001645019	0.001645019	0.001645019	0.001645019	0.001645019	0.001645019	0.001645019	0.001645019	0.001645019	0.001645019	0.001645019	0.001645019	0.001645019	2.30E-06	0.001645019	0.001645019	0.001645019	0.001645019	0.001645019	0.001645019	0.001645019	0.001645019
1pipdn2c_x	3	2.37228E-05	2.37228E-05	2.37228E-05	2.37228E-05	2.37228E-05	2.37228E-05	2.37228E-05	2.37228E-05	2.37228E-05	2.37228E-05	2.37228E-05	2.37228E-05	2.37228E-05	2.37228E-05	2.37228E-05	0.000150591	2.37228E-05	2.37228E-05	2.37228E-05	2.37228E-05	2.37228E-05	2.37228E-05	2.37228E-05	2.37228E-05
1pipdn2c_x	4	1.92E-07	1.92E-07	1.92E-07	1.92E-07	1.92E-07	1.92E-07	1.92E-07	1.92E-07	1.92E-07	1.92E-07	1.92E-07	1.92E-07	1.92E-07	1.92E-07	1.92E-07	0.005534209	1.92E-07	1.92E-07	1.92E-07	1.92E-07	1.92E-07	1.92E-07	1.92E-07	1.92E-07
1pipdn2c_x	5	8.33E-10	8.33E-10	8.33E-10	8.33E-10	8.33E-10	8.33E-10	8.33E-10	8.33E-10	8.33E-10	8.33E-10	8.33E-10	8.33E-10	8.33E-10	8.33E-10	8.33E-10	0.108470495	8.33E-10	8.33E-10	8.33E-10	8.33E-10	8.33E-10	8.33E-10	8.33E-10	8.33E-10
1pipdn2c_x	6	1.50E-12	1.50E-12	1.50E-12	1.50E-12	1.50E-12	1.50E-12	1.50E-12	1.50E-12	1.50E-12	1.50E-12	1.50E-12	1.50E-12	1.50E-12	1.50E-12	1.50E-12	0.885842372	1.50E-12	1.50E-12	1.50E-12	1.50E-12	1.50E-12	1.50E-12	1.50E-12	1.50E-12
1pyr5c_c	0	0.930916308	0.610067737	0.905902499	0.803858433	0.946814815	0.829889478	0.948268178	0.918177083	0.744024913	0.943795772	0.854669578	0.889801973	0.945578324	0.94826818	0.862974561	0.929125296	0.946135455	0.887850014	0.913844359	0.935999181	0.943595542	0.927718943	0.89359403	0.906419129
1pyr5c_c	1	0.054393653	0.042093589	0.060079521	0.078172131	0.051960079	0.047822913	0.050635867	0.061100333	0.055303615	0.054725305	0.062749569	0.056667646	0.051419574	0.050635866	0.075491403	0.060336981	0.051517375	0.065308847	0.051281925	0.057729121	0.052221674	0.061091437	0.064124486	0.065830591
