id	pathway
dcamp	Adenine metabolism
dadp	Adenine metabolism
damp	Adenine metabolism
datp	Adenine metabolism
camp	Adenine metabolism
atp	Adenine metabolism
amp	Adenine metabolism
adp	Adenine metabolism
din	Adenosine catabolism
hxan	Adenosine catabolism
ins	Adenosine catabolism
dad-2	Adenosine catabolism
ade	Adenosine catabolism
adn	Adenosine catabolism
gam6p	Aminosugars
uacgam	Aminosugars
acnamp	Aminosugars
acnam	Aminosugars
acgam	Aminosugars
acmanap	Aminosugars
acmana	Aminosugars
acgam6p	Aminosugars
acgam1p	Aminosugars
4tmeabutn	Carnitine synthesis
crn	Carnitine synthesis
tmlys	Carnitine synthesis
chol	Choline catabolism
betald	Choline catabolism
dmgly	Choline catabolism
glyb	Choline catabolism
cdpchol	Choline metabolism
cholp	Choline metabolism
g3pc	Choline metabolism
pcreat	Creatine metabolism
gudac	Creatine metabolism
creat	Creatine metabolism
crtn	Creatine metabolism
3sala	Cysteine catabolism
hyptaur	Cysteine catabolism
Lcyst	Cysteine catabolism
taur	Cysteine catabolism
cyst-L	Cysteine synthesis
dcdp	Cytidine metabolism
dcmp	Cytidine metabolism
cytd	Cytidine metabolism
dctp	Cytidine metabolism
dcyt	Cytidine metabolism
cmp	Cytidine metabolism
cdp	Cytidine metabolism
ctp	Cytidine metabolism
2dr1p	Deoxyribose catabolism
2dr5p	Deoxyribose catabolism
drib	Deoxyribose catabolism
acald	Deoxyribose catabolism
34dhphe	Dopamine synthesis
dopa	Dopamine synthesis
glyald	Fructose and sorbitol
fru	Fructose and sorbitol
f1p	Fructose and sorbitol
sbt-D	Fructose and sorbitol
gal1p	Galactose
udpgal	Galactose
4abut	Gln/glu/pro metabolism
5oxpro	Gln/glu/pro metabolism
acglu	Gln/glu/pro metabolism
gln-L	Gln/glu/pro metabolism
glu-L	Gln/glu/pro metabolism
pro-L	Gln/glu/pro metabolism
glucys	Glutathione metabolism
gthox	Glutathione metabolism
gthrd	Glutathione metabolism
g1p	Glycogen
udpg	Glycogen
glycogen	Glycogen
gmp	Guanine metabolism
gsn	Guanine metabolism
gua	Guanine metabolism
gdp	Guanine metabolism
xmp	Guanine metabolism
dgsn	Guanine metabolism
dgmp	Guanine metabolism
dgdp	Guanine metabolism
4izp	Histidine catabolism
forglu	Histidine catabolism
